17	198	1
17	480	1
17	513	2
17	684	1
17	727	4
17	1242	2
17	1279	5
17	1319	1
17	1984	2
17	1996	1
17	2163	1
58	198	1
58	727	2
58	1020	1
58	1279	2
58	2293	1
81	459	1
81	727	3
81	1279	7
81	1319	1
81	1533	1
81	2162	1
81	2176	1
81	2243	1
94	198	2
94	1279	3
94	1282	1
111	112	2
111	113	1
111	304	2
111	322	1
111	480	1
111	513	2
111	728	1
111	1242	1
111	1279	10
111	2156	1
111	2162	1
111	2166	1
111	2249	1
112	480	1
112	513	2
112	733	1
112	1242	1
112	1279	8
112	1838	1
112	1875	1
112	2162	4
113	304	1
113	480	1
113	733	1
113	1242	1
113	1279	7
113	1875	1
113	2156	1
113	2162	1
113	2166	3
171	233	3
171	304	1
171	502	1
171	682	1
171	684	1
171	1100	1
171	1264	1
171	1279	4
171	1282	1
171	1507	1
171	1838	1
171	2156	1
171	2166	1
171	2293	1
198	304	1
198	322	1
198	480	3
198	513	3
198	727	2
198	733	1
198	1279	18
198	1282	3
198	1350	2
198	1533	1
198	1741	1
198	1910	1
198	2156	1
198	2162	1
198	2249	1
198	2293	2
213	304	1
213	480	2
213	682	1
213	1279	4
213	1307	1
233	304	1
233	684	1
233	733	1
233	1264	1
233	1279	3
233	1282	1
233	1507	1
233	1838	1
233	1875	1
233	2156	1
233	2166	1
233	2293	1
304	329	3
304	391	1
304	480	1
304	502	1
304	513	2
304	684	3
304	727	23
304	728	3
304	733	1
304	767	1
304	771	2
304	1242	1
304	1264	2
304	1279	36
304	1307	2
304	1350	2
304	1532	1
304	1585	2
304	1875	9
304	2156	3
304	2162	4
304	2176	1
304	2249	1
304	2293	1
322	480	1
322	1279	7
322	1884	1
329	727	1
329	767	1
329	771	1
329	1264	1
329	1279	5
329	1875	1
329	2156	1
329	2176	1
391	513	1
391	766	1
391	1020	1
391	1279	6
459	480	1
459	1279	3
459	1319	1
459	2176	1
480	513	1
480	771	1
480	1279	24
480	2162	1
480	2166	1
480	2176	1
502	513	1
502	766	1
502	1279	8
502	1532	1
502	1533	1
502	1741	1
502	1838	1
502	2162	4
502	2176	1
513	727	5
513	728	1
513	733	1
513	766	2
513	767	1
513	1020	4
513	1279	23
513	1342	1
513	1350	1
513	1533	4
513	1838	1
513	1875	1
513	1910	3
513	1984	2
513	1996	1
513	2157	1
513	2162	3
513	2249	1
682	727	2
682	1100	1
682	1279	2
682	1884	1
682	1996	1
684	727	4
684	733	1
684	1279	6
727	766	3
727	767	4
727	771	1
727	1020	5
727	1052	6
727	1147	3
727	1279	12
727	1342	2
727	1350	6
727	1507	1
727	1532	6
727	1533	3
727	1585	6
727	1616	2
727	1741	2
727	1838	1
727	1875	6
727	1884	2
727	1984	9
727	1991	1
727	1996	5
727	2162	10
727	2166	1
727	2243	1
727	2249	3
727	2293	1
728	766	1
728	1020	1
728	1100	1
728	1279	4
728	1282	1
728	1532	1
728	1533	3
728	1585	1
728	1741	1
728	1984	2
728	1996	1
728	2163	3
728	2293	2
733	1052	1
733	1100	1
733	1279	3
733	1533	5
733	1875	2
733	1984	1
733	2156	1
733	2162	1
733	2166	4
733	2293	1
766	771	1
766	1020	1
766	1100	1
766	1279	6
766	1532	1
766	1838	1
766	1984	1
766	2162	1
766	2176	1
767	1020	1
767	1532	1
767	1875	1
767	1996	1
771	1264	1
771	1279	11
771	2156	1
771	2162	2
771	2176	1
771	2249	1
1020	1279	2
1020	1996	1
1020	2162	1
1052	1279	2
1052	1337	1
1052	1533	1
1052	1741	1
1052	1910	1
1052	2162	1
1100	1279	5
1100	2156	1
1147	2162	1
1147	2166	1
1242	1279	5
1242	2156	1
1242	2162	2
1264	1279	6
1264	1282	1
1264	1507	3
1264	1532	1
1264	1533	1
1264	2156	1
1264	2157	1
1264	2166	1
1264	2176	2
1264	2293	1
1279	1282	1
1279	1307	1
1279	1318	4
1279	1337	4
1279	1342	2
1279	1350	1
1279	1507	6
1279	1511	5
1279	1532	7
1279	1533	19
1279	1616	5
1279	1741	14
1279	1838	7
1279	1875	15
1279	1884	4
1279	1910	2
1279	1962	6
1279	1984	2
1279	1991	5
1279	2156	19
1279	2162	29
1279	2163	3
1279	2166	11
1279	2176	16
1279	2243	3
1279	2249	3
1279	2293	6
1282	1350	1
1282	1507	1
1282	1741	1
1282	2156	1
1282	2293	1
1307	2162	1
1307	2243	1
1318	1342	2
1318	1884	1
1319	1532	1
1319	1741	1
1337	2162	2
1342	1984	1
1350	1910	1
1350	1996	1
1507	1532	1
1507	1991	1
1507	2156	1
1507	2162	3
1507	2176	1
1507	2293	1
1511	1991	1
1532	1585	1
1532	1741	2
1532	2162	4
1533	1884	1
1533	2162	2
1533	2163	1
1533	2166	6
1585	1875	1
1585	1984	1
1585	2249	1
1616	1884	1
1616	2162	1
1741	1875	1
1741	2156	1
1838	2162	2
1838	2166	2
1875	2156	3
1875	2162	1
1875	2166	1
1884	2156	1
1884	2293	1
1910	2293	1
1984	2293	1
2156	2162	1
2156	2176	1
2156	2293	7
2157	2163	1
2162	2176	2
2162	2243	1
2166	2249	1
