id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
25	active learning	-0.3229	-0.1424	1	9	20	19	2011.3158	18.7368	0.2865
121	artificial intelligence	-0.3946	-0.0141	1	6	11	8	2010.875	17.875	0.2933
123	artificial neural network	-0.6074	0.1907	1	8	13	7	2011.2857	50.8571	0.7286
125	artificial neural networks	-0.4589	0.137	1	10	20	14	2011.1429	26.2857	0.3666
223	bioinformatics	-0.7973	-0.0746	1	7	20	10	2010.9	7.6	0.1025
254	boosting	-0.5546	-0.2789	1	7	8	5	2010.6	87.6	1.2761
332	classification	-0.4993	-0.1573	1	23	64	40	2011.05	49.6	0.7565
354	clustering	-0.6356	-0.1708	1	14	21	9	2011.2222	12.5556	0.1564
499	data mining	-0.7629	0.0106	1	14	44	33	2010.7879	282.9091	4.0644
520	decision tree	-0.4284	0.0293	1	8	14	8	2010.875	50.625	0.5455
522	decision trees	-0.7471	0.0763	1	10	16	9	2010.7778	10.3333	0.1224
550	deteriorating jobs	2.3008	-0.1223	3	8	45	15	2011.2	28.2	0.4775
562	differential evolution	-0.1607	0.2547	2	4	7	5	2011.2	51.8	1.0346
710	ensemble learning	-0.3938	0.2837	1	8	8	7	2011.2857	45.2857	0.5861
767	extreme learning machine	-0.1554	0.1502	2	22	53	75	2011.2267	68.5733	0.9968
769	extreme learning machine (elm)	-0.2013	-0.2581	2	7	9	15	2011.2	323.0667	7.2779
772	extreme learning machines	-0.4428	0.193	1	7	7	6	2011.8333	12.6667	0.299
804	feature extraction	-0.6917	0.1168	1	12	18	11	2011.4545	31.7273	0.5453
811	feature selection	-0.6681	-0.1161	1	12	20	15	2010.9333	26.8667	0.415
838	flowshop	2.2861	0.135	3	7	23	8	2011	13.25	0.2225
846	forecasting	-0.3144	0.2369	2	4	7	5	2011.4	33.2	0.5232
892	gaussian process	-0.5996	0.2486	1	6	10	6	2011	40.8333	0.6734
922	genetic algorithm	0.603	0.0191	2	10	12	7	2011.5714	26.7143	0.5066
1070	image processing	-0.7433	0.1412	1	2	6	6	2011.6667	12	0.2191
1093	incremental learning	-0.1451	-0.0407	2	7	10	11	2011.0909	135.7273	1.5011
1154	intrusion detection	-0.568	0.1617	1	4	9	9	2010.7778	78.6667	1.1501
1191	kernel machines	-0.3864	-0.3769	1	4	7	6	2011.1667	195	1.9678
1244	learning	0.7356	-0.0155	2	7	8	10	2011.2	21.5	0.3901
1256	learning effect	2.3105	-0.0092	3	9	133	63	2010.9206	23.9048	0.3611
1258	learning effects	2.2096	-0.1416	3	5	12	6	2011.1667	26.5	0.3744
1332	machine learning	-0.5642	0.0117	1	44	259	391	2011.0895	48.2967	0.7523
1348	machine learning methods	-0.5386	0.3459	1	2	2	5	2011.2	7.4	0.0981
1353	machine learning techniques	-0.7354	-0.2842	1	2	2	6	2010.8333	25.5	0.2568
1358	machine translation	-0.5717	-0.1725	1	2	4	7	2011.5714	13.1429	0.1309
1361	machine-learning	-0.2847	0.2603	1	1	1	7	2011.2857	11.2857	0.138
1367	makespan	2.4265	-0.0596	3	7	26	11	2010.8182	23.8182	0.3856
1431	meta-learning	-0.7423	-0.0474	1	4	7	7	2011.2857	18	0.4301
1540	multiple kernel learning	-0.391	-0.3122	1	4	7	5	2011.4	218.6	2.0328
1557	naive bayes	-0.7073	-0.0856	1	5	9	5	2011	16.4	0.1743
1569	natural language processing	-0.6954	-0.1699	1	3	7	7	2010.8571	15.2857	0.2392
1588	neural network	-0.1269	0.0546	2	16	36	21	2011.0476	30.5714	0.5411
1591	neural networks	-0.2704	0.0317	2	15	27	18	2011.2778	14.8333	0.3205
1638	online learning	-0.2642	-0.2255	2	13	15	15	2011.2667	187.7333	2.7608
1651	optimization	-0.2338	-0.0275	1	9	13	9	2011.1111	51.2222	0.6381
1659	ordinal regression	-0.2173	0.1791	2	4	6	5	2010.6	15.6	0.2151
1712	pattern recognition	-0.3828	-0.072	1	16	25	17	2011.1765	28.9412	0.291
1714	pca	-0.4631	0.2443	2	3	6	6	2011.1667	55.1667	0.6319
1788	prediction	-0.3909	0.194	1	8	14	8	2011	24.5	0.4642
1903	random forest	-0.5427	0.2525	1	8	12	9	2011.2222	70	1.256
1935	regression	-0.194	-0.1084	2	12	19	10	2011.1	76.8	1.0442
1943	reinforcement learning	-0.0258	-0.0455	1	9	13	12	2011.3333	10.3333	0.1926
2025	scheduling	2.1864	0.0386	3	12	151	67	2011.0149	23.7015	0.3606
2064	semi-supervised learning	-0.2973	-0.0577	1	3	5	5	2010.8	74.2	0.6817
2088	setup times	2.348	0.1683	3	4	18	6	2011	22.8333	0.3587
2111	single machine	2.3876	0.0903	3	7	76	30	2010.7667	21.6	0.3282
2115	single-machine	2.1186	-0.071	3	8	54	25	2011.04	24.92	0.3648
2253	supervised learning	-0.135	-0.1515	2	9	11	7	2011.5714	3704.5714	34.028
2260	support vector machine	-0.3461	0.1159	1	29	84	82	2010.9878	45.9634	0.5561
2261	support vector machine (svm)	-0.19	-0.185	2	6	11	16	2011	29.4375	0.3931
2264	support vector machines	-0.398	-0.1649	1	29	64	52	2011	50.6154	0.5801
2268	support vector regression	-0.4899	0.1985	1	8	13	8	2011.625	76.25	1.4614
2280	svm	-0.5883	-0.2231	1	13	20	15	2011	19.1333	0.3271
2364	total completion time	2.4535	-0.0086	3	7	24	10	2010.9	23.2	0.3888
2374	traffic classification	-0.7062	0.0734	1	1	2	5	2011.4	48.6	0.9895
2385	transfer learning	-0.6402	0.1661	1	5	8	7	2011	1150.2857	16.4732
2442	unsupervised learning	-0.1042	-0.1785	2	5	7	7	2011.4286	3703.8571	33.9666
